cmd=numactl --physcpubind=0-7,16-23,24-31,32-39,48-55,56-63   ../build/benchmarks/pacman_bench --benchmark_repetitions=1 --benchmark_filter=/(50)/.*/threads:(4)$   --benchmark_out=../results/etc_3_0 --benchmark_out_format=json reps=1
total keys: 20000000 NUM_OPS_PER_THREAD: 1000000000 NUM_WARMUP_OPS_PER_THREAD: 0
benchmark: ETC
The number of inputs is very large. DBFixture/bench will be repeated at least 320 times.
2024-08-26T23:30:31-05:00
Running ../build/benchmarks/pacman_bench
Run on (64 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 64 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 8192 KiB (x8)
Load Average: 1.64, 0.52, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
[1724733031]	Setup starts!
Init capacity utilization 50%  threads of service / gc : 4 / 2
[1724733031]	Setup starts!
[1724733031]	Setup starts!
[1724733031]	Setup starts!
Using MADVISE_HUGE
idx_start_addr_ = 0x7f164ec00000, is aligned to 2MB = 1
idx_pool_size_ = 10737418240, is aligned to 2MB = 1
DB index type: FastFair
Using MADVISE_HUGE
pool_start_ 0x7f1453a00000, is aligned to 2M? 1
total_log_size_ 0x1fb000000, is aligned to 2M? 1
[1724733031]	Initializing log segments...
Log: pool_start 0x7f1453a00000 total segments: 2028  cleaners: 2
[1724733032]Initialized 2026 free log segments...
[1724733032]	DB init finished in 0.681640 seconds
[1724733032]	DB init finished in 0.681454 seconds
[1724733032]	DB init finished in 0.681555 seconds
[1724733032]	DB init finished in 0.681817 seconds
[1724733041]	DB load finished in 9.248561 seconds
[1724733041]	DB load finished in 9.288803 seconds
[1724733041]	DB load finished in 9.333742 seconds
[1724733042]	DB load finished in 9.466467 seconds
[1724733042]	DB warmup finished in 0.000023 seconds
[1724733042]	DB warmup finished in 0.177713 seconds
[1724733042]	DB warmup finished in 0.217954 seconds
[1724733042]	DB warmup finished in 0.132937 seconds
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
7261	[1724733044]	2000000 OPS in 2.118810 seconds, throughput 943926.071710
7261	[1724733044]	2000000 OPS in 2.190712 seconds, throughput 912945.197726
7261	[1724733044]	2000000 OPS in 2.192418 seconds, throughput 912234.801940
7261	[1724733044]	2000000 OPS in 2.214427 seconds, throughput 903168.178495
7261	[1724733046]	2000000 OPS in 2.097761 seconds, throughput 953397.455668
7261	[1724733046]	2000000 OPS in 2.094890 seconds, throughput 954704.065607
7261	[1724733046]	2000000 OPS in 2.117213 seconds, throughput 944638.069009
7261	[1724733046]	2000000 OPS in 2.120419 seconds, throughput 943209.809005
7261	[1724733048]	2000000 OPS in 2.123093 seconds, throughput 942021.852081
7261	[1724733048]	2000000 OPS in 2.096218 seconds, throughput 954099.239678
7261	[1724733048]	2000000 OPS in 2.100946 seconds, throughput 951952.120616
7261	[1724733048]	2000000 OPS in 2.120118 seconds, throughput 943343.719548
7261	[1724733050]	2000000 OPS in 2.116473 seconds, throughput 944968.350648
7261	[1724733050]	2000000 OPS in 2.107833 seconds, throughput 948841.772569
7261	[1724733050]	2000000 OPS in 2.139478 seconds, throughput 934807.462381
7261	[1724733050]	2000000 OPS in 2.116718 seconds, throughput 944858.975074
7261	[1724733052]	2000000 OPS in 2.161589 seconds, throughput 925245.270956
7261	[1724733052]	2000000 OPS in 2.162606 seconds, throughput 924810.159594
7261	[1724733052]	2000000 OPS in 2.140804 seconds, throughput 934228.448751
7261	[1724733052]	2000000 OPS in 2.162910 seconds, throughput 924680.176244
7261	[1724733054]	2000000 OPS in 2.075166 seconds, throughput 963778.319421
7261	[1724733054]	2000000 OPS in 2.102244 seconds, throughput 951364.351617
7261	[1724733054]	2000000 OPS in 2.142441 seconds, throughput 933514.621873
7261	[1724733054]	2000000 OPS in 2.153402 seconds, throughput 928762.952760
7261	[1724733057]	2000000 OPS in 2.176567 seconds, throughput 918878.215097
7261	[1724733057]	2000000 OPS in 2.315282 seconds, throughput 863825.659250
7261	[1724733057]	2000000 OPS in 2.182826 seconds, throughput 916243.438552
7261	[1724733057]	2000000 OPS in 2.341556 seconds, throughput 854132.892829
7261	[1724733059]	2000000 OPS in 2.563571 seconds, throughput 780161.735329
7261	[1724733059]	2000000 OPS in 2.678328 seconds, throughput 746734.529901
7261	[1724733059]	2000000 OPS in 2.820704 seconds, throughput 709042.848877
7261	[1724733060]	2000000 OPS in 3.004257 seconds, throughput 665722.007139
7261	[1724733062]	2000000 OPS in 2.801453 seconds, throughput 713915.243268
7261	[1724733062]	2000000 OPS in 2.928130 seconds, throughput 683029.783514
7261	[1724733063]	2000000 OPS in 2.907038 seconds, throughput 687985.502769
7261	[1724733063]	2000000 OPS in 3.275827 seconds, throughput 610532.851704
7261	[1724733065]	2000000 OPS in 2.709874 seconds, throughput 738041.694928
7261	[1724733065]	2000000 OPS in 2.870766 seconds, throughput 696678.168823
7261	[1724733066]	2000000 OPS in 3.050774 seconds, throughput 655571.340257
7261	[1724733066]	2000000 OPS in 3.081669 seconds, throughput 648998.967767
7261	[1724733068]	2000000 OPS in 2.639089 seconds, throughput 757837.268845
7261	[1724733068]	2000000 OPS in 2.778156 seconds, throughput 719901.978147
7261	[1724733068]	2000000 OPS in 2.723973 seconds, throughput 734221.668130
7261	[1724733068]	2000000 OPS in 2.838444 seconds, throughput 704611.399767
7261	[1724733070]	2000000 OPS in 2.512449 seconds, throughput 796036.058841
7261	[1724733070]	2000000 OPS in 2.664212 seconds, throughput 750691.011076
7261	[1724733071]	2000000 OPS in 2.555370 seconds, throughput 782665.523975
7261	[1724733071]	2000000 OPS in 2.722628 seconds, throughput 734584.379504
7261	[1724733073]	2000000 OPS in 2.624010 seconds, throughput 762192.217255
7261	[1724733073]	2000000 OPS in 2.536013 seconds, throughput 788639.490413
7261	[1724733074]	2000000 OPS in 2.542126 seconds, throughput 786743.064663
7261	[1724733074]	2000000 OPS in 2.505797 seconds, throughput 798149.251516
7261	[1724733075]	2000000 OPS in 2.349191 seconds, throughput 851356.913933
7261	[1724733075]	2000000 OPS in 2.411704 seconds, throughput 829289.166498
