cmd=numactl --physcpubind=0-7,16-23,24-31,32-39,48-55,56-63   ../build/benchmarks/pacman_bench --benchmark_repetitions=1 --benchmark_filter=/(50)/.*/threads:(2)$   --benchmark_out=../results/etc_3_0 --benchmark_out_format=json reps=1
total keys: 20000000 NUM_OPS_PER_THREAD: 100000000 NUM_WARMUP_OPS_PER_THREAD: 0
benchmark: ETC
The number of inputs is very large. DBFixture/bench will be repeated at least 320 times.
2024-08-28T14:34:07-05:00
Running ../build/benchmarks/pacman_bench
Run on (64 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 64 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 8192 KiB (x8)
Load Average: 0.15, 1.43, 2.81
[1724873647]	Setup starts!
Init capacity utilization 50%  threads of service / gc : 2 / 2
[1724873647]	Setup starts!
Using MADVISE_HUGE
idx_start_addr_ = 0x7fcf40200000, is aligned to 2MB = 1
idx_pool_size_ = 10737418240, is aligned to 2MB = 1
DB index type: FastFair
Using MADVISE_HUGE
pool_start_ 0x7fcd45000000, is aligned to 2M? 1
total_log_size_ 0x1fb000000, is aligned to 2M? 1
[1724873647]	Initializing log segments...
Log: pool_start 0x7fcd45000000 total segments: 2028  cleaners: 2
[1724873648]Initialized 2026 free log segments...
[1724873648]	DB init finished in 0.673692 seconds
[1724873648]	DB init finished in 0.673850 seconds
[1724873665]	DB load finished in 17.202026 seconds
[1724873665]	DB load finished in 17.219574 seconds
[1724873665]	DB warmup finished in 0.000017 seconds
[1724873665]	DB warmup finished in 0.017560 seconds
[1724873665]	ETC init!
[1724873665]	ETC starts!
[1724873665]	ETC init!
[1724873665]	ETC starts!
813494	[1724873667]	2000000 OPS in 1.963531 seconds, throughput 1018573.172514
813494	[1724873667]	2000000 OPS in 1.966501 seconds, throughput 1017034.824798
813494	[1724873669]	2000000 OPS in 1.908745 seconds, throughput 1047808.900613
813494	[1724873669]	2000000 OPS in 1.913792 seconds, throughput 1045045.647594
813494	[1724873671]	2000000 OPS in 1.912901 seconds, throughput 1045532.413857
813494	[1724873671]	2000000 OPS in 1.919478 seconds, throughput 1041949.946808
813494	[1724873673]	2000000 OPS in 1.923388 seconds, throughput 1039831.796809
813494	[1724873673]	2000000 OPS in 1.919426 seconds, throughput 1041978.174725
813494	[1724873675]	2000000 OPS in 1.924176 seconds, throughput 1039405.958706
813494	[1724873675]	2000000 OPS in 1.919226 seconds, throughput 1042086.757891
813494	[1724873677]	2000000 OPS in 1.920225 seconds, throughput 1041544.610658
813494	[1724873677]	2000000 OPS in 1.920994 seconds, throughput 1041127.666198
813494	[1724873679]	2000000 OPS in 1.919768 seconds, throughput 1041792.549933
813494	[1724873679]	2000000 OPS in 1.926486 seconds, throughput 1038159.633654
813494	[1724873681]	2000000 OPS in 1.922078 seconds, throughput 1040540.498356
813494	[1724873681]	2000000 OPS in 1.924594 seconds, throughput 1039180.211515
813494	[1724873683]	2000000 OPS in 1.932032 seconds, throughput 1035179.541540
813494	[1724873683]	2000000 OPS in 1.936464 seconds, throughput 1032810.318188
813494	[1724873684]	2000000 OPS in 1.937176 seconds, throughput 1032430.713575
813494	[1724873684]	2000000 OPS in 1.932310 seconds, throughput 1035030.611030
813494	[1724873686]	2000000 OPS in 1.880461 seconds, throughput 1063568.986541
813494	[1724873686]	2000000 OPS in 1.880318 seconds, throughput 1063649.871990
813494	[1724873688]	2000000 OPS in 1.896625 seconds, throughput 1054504.712318
813494	[1724873688]	2000000 OPS in 1.900389 seconds, throughput 1052416.110596
813494	[1724873690]	2000000 OPS in 1.901595 seconds, throughput 1051748.663622
813494	[1724873690]	2000000 OPS in 1.904130 seconds, throughput 1050348.453099
813494	[1724873692]	2000000 OPS in 1.909267 seconds, throughput 1047522.426146
813494	[1724873692]	2000000 OPS in 1.906903 seconds, throughput 1048821.046482
813494	[1724873694]	2000000 OPS in 1.905122 seconds, throughput 1049801.535020
813494	[1724873694]	2000000 OPS in 1.905662 seconds, throughput 1049504.056858
813494	[1724873696]	2000000 OPS in 1.897983 seconds, throughput 1053750.217995
813494	[1724873696]	2000000 OPS in 1.899218 seconds, throughput 1053064.998331
813494	[1724873698]	2000000 OPS in 1.899084 seconds, throughput 1053139.302948
813494	[1724873698]	2000000 OPS in 1.895643 seconds, throughput 1055050.977426
813494	[1724873700]	2000000 OPS in 1.898654 seconds, throughput 1053377.813967
813494	[1724873700]	2000000 OPS in 1.899858 seconds, throughput 1052710.255187
813494	[1724873702]	2000000 OPS in 1.901991 seconds, throughput 1051529.686523
813494	[1724873702]	2000000 OPS in 1.902937 seconds, throughput 1051006.943477
813494	[1724873703]	2000000 OPS in 1.891327 seconds, throughput 1057458.599174
813494	[1724873703]	2000000 OPS in 1.890540 seconds, throughput 1057898.801401
813494	[1724873705]	2000000 OPS in 1.903970 seconds, throughput 1050436.719066
813494	[1724873705]	2000000 OPS in 1.901600 seconds, throughput 1051745.898191
813494	[1724873707]	2000000 OPS in 1.901487 seconds, throughput 1051808.400478
813494	[1724873707]	2000000 OPS in 1.899440 seconds, throughput 1052941.919724
813494	[1724873709]	2000000 OPS in 1.908867 seconds, throughput 1047741.932780
813494	[1724873709]	2000000 OPS in 1.908626 seconds, throughput 1047874.229943
813494	[1724873711]	2000000 OPS in 1.889897 seconds, throughput 1058258.730502
813494	[1724873711]	2000000 OPS in 1.894420 seconds, throughput 1055732.097423
813494	[1724873713]	2000000 OPS in 1.895209 seconds, throughput 1055292.582507
813494	[1724873713]	2000000 OPS in 1.896808 seconds, throughput 1054402.975947
813494	[1724873715]	2000000 OPS in 1.896903 seconds, throughput 1054350.169724
813494	[1724873715]	2000000 OPS in 1.898076 seconds, throughput 1053698.587412
813494	[1724873717]	2000000 OPS in 1.893839 seconds, throughput 1056055.979415
813494	[1724873717]	2000000 OPS in 1.894272 seconds, throughput 1055814.582066
813494	[1724873719]	2000000 OPS in 1.896035 seconds, throughput 1054832.848550
813494	[1724873719]	2000000 OPS in 1.898718 seconds, throughput 1053342.307810
813494	[1724873721]	2000000 OPS in 1.898540 seconds, throughput 1053441.065240
813494	[1724873721]	2000000 OPS in 1.898075 seconds, throughput 1053699.142552
813494	[1724873722]	2000000 OPS in 1.891732 seconds, throughput 1057232.208368
813494	[1724873722]	2000000 OPS in 1.893204 seconds, throughput 1056410.191400
813494	[1724873724]	2000000 OPS in 1.895211 seconds, throughput 1055291.468865
813494	[1724873724]	2000000 OPS in 1.894863 seconds, throughput 1055485.277827
813494	[1724873726]	2000000 OPS in 1.894020 seconds, throughput 1055955.058553
813494	[1724873726]	2000000 OPS in 1.895631 seconds, throughput 1055057.656263
813494	[1724873728]	2000000 OPS in 1.897915 seconds, throughput 1053787.972591
813494	[1724873728]	2000000 OPS in 1.900840 seconds, throughput 1052166.410640
813494	[1724873730]	2000000 OPS in 1.899523 seconds, throughput 1052895.911237
813494	[1724873730]	2000000 OPS in 1.900645 seconds, throughput 1052274.359494
813494	[1724873732]	2000000 OPS in 1.895425 seconds, throughput 1055172.322830
813494	[1724873732]	2000000 OPS in 1.896499 seconds, throughput 1054574.771724
813494	[1724873734]	2000000 OPS in 1.893696 seconds, throughput 1056135.726114
813494	[1724873734]	2000000 OPS in 1.895398 seconds, throughput 1055187.353791
813494	[1724873736]	2000000 OPS in 1.893633 seconds, throughput 1056170.863098
813494	[1724873736]	2000000 OPS in 1.892947 seconds, throughput 1056553.617191
813494	[1724873738]	2000000 OPS in 1.896591 seconds, throughput 1054523.616320
813494	[1724873738]	2000000 OPS in 1.900424 seconds, throughput 1052396.728309
813494	[1724873739]	2000000 OPS in 1.897745 seconds, throughput 1053882.370919
813494	[1724873740]	2000000 OPS in 1.896184 seconds, throughput 1054749.960974
813494	[1724873741]	2000000 OPS in 1.900858 seconds, throughput 1052156.447246
813494	[1724873741]	2000000 OPS in 1.903162 seconds, throughput 1050882.688915
813494	[1724873743]	2000000 OPS in 1.899337 seconds, throughput 1052999.020184
813494	[1724873743]	2000000 OPS in 1.902340 seconds, throughput 1051336.774709
813494	[1724873745]	2000000 OPS in 1.898507 seconds, throughput 1053459.376236
813494	[1724873745]	2000000 OPS in 1.900301 seconds, throughput 1052464.846359
813494	[1724873747]	2000000 OPS in 1.900690 seconds, throughput 1052249.446254
813494	[1724873747]	2000000 OPS in 1.903081 seconds, throughput 1050927.417172
813494	[1724873749]	2000000 OPS in 1.901308 seconds, throughput 1051907.423731
813494	[1724873749]	2000000 OPS in 1.901624 seconds, throughput 1051732.624325
813494	[1724873751]	2000000 OPS in 1.900836 seconds, throughput 1052168.624752
813494	[1724873751]	2000000 OPS in 1.900842 seconds, throughput 1052165.303587
813494	[1724873753]	2000000 OPS in 1.895758 seconds, throughput 1054986.976186
813494	[1724873753]	2000000 OPS in 1.898372 seconds, throughput 1053534.291488
813494	[1724873755]	2000000 OPS in 1.910908 seconds, throughput 1046622.862011
813494	[1724873755]	2000000 OPS in 1.910549 seconds, throughput 1046819.526743
813494	[1724873757]	2000000 OPS in 1.899390 seconds, throughput 1052969.637620
813494	[1724873757]	2000000 OPS in 1.899160 seconds, throughput 1053097.158744
813494	[1724873758]	2000000 OPS in 1.895575 seconds, throughput 1055088.825290
813494	[1724873759]	2000000 OPS in 1.895481 seconds, throughput 1055141.148869
--------------------------------------------------------------------------------------------------------------
Benchmark                                                    Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------
DBFixture/bench/50/iterations:1/real_time/threads:2      47605 ms        95195 ms            2 CompactionCPUUsage=0.869551 CompactionThroughput=558.398M Lat_Get_Avg=741.672 Lat_Get_P50=731.367 Lat_Get_P95=1.25369k Lat_Get_P99=1.64811k Lat_Put_Avg=1.16307k Lat_Put_P50=1.11739k Lat_Put_P95=1.79679k Lat_Put_P99=1.99237k items_per_second=2.10063M/s

real	1m59.002s
user	5m14.375s
sys	0m2.336s
